date,tavg
2011-01-01,-4.632333333334
2011-01-06,-9.656166666674
2011-01-11,-5.629750000002
2011-01-16,-13.935916666646
2011-01-21,-9.143583333332
2011-01-26,-9.326583333334
2011-01-31,-5.362666666668
2011-02-05,-0.48833333333400003
2011-02-10,-10.413666666674
2011-02-15,-20.64841666664
2011-02-20,-19.314833333320003
2011-02-25,-15.818666666640002
2011-03-02,-7.7420000000139995
2011-03-07,-9.032833333328
2011-03-12,0.03708333333399998
2011-03-17,-2.414916666664
2011-03-22,-0.832749999998
2011-03-27,-0.5304275362325999
2011-04-01,2.1920833333339997
2011-04-06,4.234833333336
2011-04-11,4.0014166666660005
2011-04-16,6.29075
2011-04-21,10.020666666674
2011-04-26,14.30183333334
2011-05-01,15.936250000000001
2011-05-06,14.980916666659999
2011-05-11,15.02833333334
2011-05-16,15.63891666666
2011-05-21,19.33966666666
2011-05-26,17.342083333319998
2011-05-31,20.83966666668
2011-06-05,18.48674999998
2011-06-10,18.81375000002
2011-06-15,20.482
2011-06-20,19.864083333339998
2011-06-25,20.37050000002
2011-06-30,21.31833333332
2011-07-05,20.47366666666
2011-07-10,22.14016666666
2011-07-15,24.546916666679998
2011-07-20,24.68341666668
2011-07-25,25.13991666666
2011-07-30,20.03766666668
2011-08-04,17.939833333320003
2011-08-09,23.52758333334
2011-08-14,22.9955
2011-08-19,16.79241666668
2011-08-24,16.49066666668
2011-08-29,19.08066666666
2011-09-03,13.74533333332
2011-09-08,12.9575
2011-09-13,15.587916666679998
2011-09-18,12.92758333336
2011-09-23,12.361166666666
2011-09-28,8.939416666667999
2011-10-03,9.820416666674001
2011-10-08,13.54083333332
2011-10-13,3.6595833333333396
2011-10-18,4.988416666666
2011-10-23,3.3162500000020003
2011-10-28,4.215083333334
2011-11-02,2.0826666666645997
2011-11-07,-2.5177500000006
2011-11-12,-2.1303333333334
2011-11-17,-0.7484166666659999
2011-11-22,-6.480833333334
2011-11-27,0.5711666666666
2011-12-02,1.6875
2011-12-07,0.13208333333254
2011-12-12,-0.16008333333259994
2011-12-17,0.07408333333266
2011-12-22,-3.64375
2011-12-27,0.6165833333334
2012-01-01,-0.338833333332734
2012-01-06,0.7574999999994001
2012-01-11,-1.8232500000000003
2012-01-16,-7.37483333334
2012-01-21,-13.416583333334
2012-01-26,-14.078666666660002
2012-01-31,-20.414500000020002
2012-02-05,-17.69899999998
2012-02-10,-18.15733333334
2012-02-15,-10.512833333334
2012-02-20,-6.491416666666599
2012-02-25,-0.6292499999986
2012-03-01,-5.769666666668
2012-03-06,-9.285749999994
2012-03-11,-2.59633333333466
2012-03-16,-0.33066666666799993
2012-03-21,0.12875000000139997
2012-03-26,-0.521166666666
2012-03-31,1.7566666666665998
2012-04-05,7.651000000000001
2012-04-10,8.720583333334
2012-04-15,15.280083333339999
2012-04-20,14.42058333332
2012-04-25,17.79441666664
2012-04-30,13.887666666660001
2012-05-05,19.24141666664
2012-05-10,20.58316666666
2012-05-15,20.49525
2012-05-20,19.41441666666
2012-05-25,14.38799999998
2012-05-30,14.29133333332
2012-06-04,17.81041666666
2012-06-09,22.756333333340002
2012-06-14,21.957666666659996
2012-06-19,20.68858333336
2012-06-24,19.2864166667
2012-06-29,19.102083333320003
2012-07-04,23.69741666668
2012-07-09,23.65325
2012-07-14,20.51891666668
2012-07-19,19.44524999998
2012-07-24,22.64866666666
2012-07-29,22.8565
2012-08-03,26.291666666679998
2012-08-08,21.860666666660002
2012-08-13,19.701249999999998
2012-08-18,15.66191666668
2012-08-23,16.70400000002
2012-08-28,15.46941666668
2012-09-02,14.75791666668
2012-09-07,11.87325000002
2012-09-12,16.13975
2012-09-17,13.38300000002
2012-09-22,12.71366666666
2012-09-27,13.742250000000002
2012-10-02,12.278749999999999
2012-10-07,11.024083333334
2012-10-12,7.792333333326001
2012-10-17,12.869416666660001
2012-10-22,5.287916666666
2012-10-27,5.586083333334
2012-11-01,4.740749999998
2012-11-06,5.581333333334
2012-11-11,1.1475
2012-11-16,1.379166666668
2012-11-21,-0.43975
2012-11-26,2.2659166666666
2012-12-01,3.1812499999986
2012-12-06,-1.61841666666726
2012-12-11,-8.068999999994
2012-12-16,-14.82750000002
2012-12-21,-14.74483333334
2012-12-26,-1.5864999999999998
2012-12-31,-0.9139999999994
2013-01-05,-2.660083333332
2013-01-10,-8.070666666666
2013-01-15,-4.656000000006
2013-01-20,-6.5745000000000005
2013-01-25,-12.490499999979999
2013-01-30,-2.1917500000014
2013-02-04,-0.45358333333340006
2013-02-09,-1.019333333334
2013-02-14,-5.906166666666
2013-02-19,-8.094916666666
2013-02-24,-5.7215833333346
2013-03-01,-3.5068333333334003
2013-03-06,-4.359500000002
2013-03-11,-4.2566666666640005
2013-03-16,-1.4648333333326
2013-03-21,-4.159500000002
2013-03-26,-7.061333333334
2013-03-31,4.9556666666666
2013-04-05,5.185833333332
2013-04-10,6.503166666667999
2013-04-15,11.411249999994
2013-04-20,9.137416666659998
2013-04-25,14.21141666664
2013-04-30,14.498750000000001
2013-05-05,15.246666666660001
2013-05-10,20.79674999998
2013-05-15,23.110666666660002
2013-05-20,19.82441666666
2013-05-25,17.91466666666
2013-05-30,18.874083333319998
2013-06-04,18.80075
2013-06-09,20.71058333332
2013-06-14,22.66883333334
2013-06-19,17.28666666666
2013-06-24,23.51616666668
2013-06-29,22.119083333360003
2013-07-04,23.59058333334
2013-07-09,20.59483333334
2013-07-14,19.70883333332
2013-07-19,17.33266666666
2013-07-24,16.67524999998
2013-07-29,18.96541666668
2013-08-03,19.02641666668
2013-08-08,22.4015
2013-08-13,21.131999999999998
2013-08-18,19.17691666668
2013-08-23,18.63808333334
2013-08-28,16.680916666679998
2013-09-02,13.433333333339998
2013-09-07,12.42958333332
2013-09-12,13.52616666666
2013-09-17,13.640916666679999
2013-09-22,8.630750000006
2013-09-27,3.481916666666
2013-10-02,2.6217500000006
2013-10-07,10.43625000002
2013-10-12,8.000166666679998
2013-10-17,6.718916666666
2013-10-22,4.8928333333326
2013-10-27,10.39383333334
2013-11-01,7.990416666659999
2013-11-06,9.435166666666
2013-11-11,5.170833333334
2013-11-16,1.250916666666
2013-11-21,2.3780833333354
2013-11-26,0.5986666666666001
2013-12-01,-1.1033333333332
2013-12-06,-3.625583333334
2013-12-11,-7.874416666665999
2013-12-16,-2.462333333332
2013-12-21,0.1486666666668
2013-12-26,-1.0109166666672
2013-12-31,-2.2793333333340002
2014-01-05,0.5126666666666
2014-01-10,0.07950000000000017
2014-01-15,-8.889666666653401
2014-01-20,-15.324666666659999
2014-01-25,-20.3536666667
2014-01-30,-21.89433333334
2014-02-04,-6.641166666668001
2014-02-09,-0.670166666668
2014-02-14,1.0794166666668
2014-02-19,0.64891666666606
2014-02-24,-5.075083333334
2014-03-01,-1.0463333333328
2014-03-06,-0.30983333333334
2014-03-11,4.436416666666
2014-03-16,0.52033333333534
2014-03-21,7.646000000001339
2014-03-26,3.2534166666666002
2014-03-31,1.4651666666660002
2014-04-05,4.9376666666654
2014-04-10,4.424333333334
2014-04-15,12.053749999999999
2014-04-20,14.470500000013999
2014-04-25,10.888583333326
2014-04-30,11.91075
2014-05-05,10.082333333314
2014-05-10,16.63966666666
2014-05-15,22.98699999998
2014-05-20,21.15458333334
2014-05-25,22.30783333332
2014-05-30,21.23108333332
2014-06-04,23.79
2014-06-09,15.910416666660002
2014-06-14,14.791083333340001
2014-06-19,15.574916666659998
2014-06-24,14.743916666679999
2014-06-29,18.28008333334
2014-07-04,20.114083333339998
2014-07-09,21.23083333334
2014-07-14,23.47649999998
2014-07-19,21.009583333339997
2014-07-24,21.13574999998
2014-07-29,24.848750000019997
2014-08-03,23.28941666668
2014-08-08,23.73466666666
2014-08-13,24.70749999998
2014-08-18,19.11333333334
2014-08-23,17.070583333320002
2014-08-28,15.52583333332
2014-09-02,15.78383333332
2014-09-07,16.78783333334
2014-09-12,14.85466666668
2014-09-17,9.553333333333999
2014-09-22,12.577083333340001
2014-09-27,9.926499999994
2014-10-02,5.332083333334
2014-10-07,6.96925
2014-10-12,13.13008333334
2014-10-17,5.65450000000666
2014-10-22,-4.101749999998001
2014-10-27,3.190916666666
2014-11-01,0.628833333332
2014-11-06,6.213916666666
2014-11-11,3.4059166666659997
2014-11-16,-3.7745000000006
2014-11-21,-5.511333333334
2014-11-26,-7.970583333332
2014-12-01,-7.82791666666
2014-12-06,-3.1842500000006
2014-12-11,0.18033333333065996
2014-12-16,1.0614999999994
2014-12-21,0.56216666666672
2014-12-26,-10.1625
2014-12-31,-4.1793333333391995
2015-01-05,-13.188250000005999
2015-01-10,0.1025000000006
2015-01-15,-1.0274166666673998
2015-01-20,-6.2084166666659995
2015-01-25,-7.3463333333400005
2015-01-30,0.21258333333460006
2015-02-04,-4.396
2015-02-09,-7.869
2015-02-14,-7.59675
2015-02-19,-1.8310000000000002
2015-02-24,-0.05933333333320001
2015-03-01,-1.3390000000014
2015-03-06,1.537416666666
2015-03-11,3.128666666666
2015-03-16,1.0417500000008
2015-03-21,1.981333333332
2015-03-26,1.7973333333319998
2015-03-31,2.0
2015-04-05,3.7247500000000002
2015-04-10,9.344666666672001
2015-04-15,6.571833333334
2015-04-20,5.054999999992
2015-04-25,15.30083333332
2015-04-30,14.499166666659999
2015-05-05,12.79350000002
2015-05-10,14.987250000020001
2015-05-15,10.95691666668
2015-05-20,18.02966666666
2015-05-25,21.69766666668
2015-05-30,17.71475
2015-06-04,19.61333333334
2015-06-09,19.36358333332
2015-06-14,20.77133333334
2015-06-19,20.69533333334
2015-06-24,22.32441666666
2015-06-29,18.32866666668
2015-07-04,21.938833333319998
2015-07-09,19.464
2015-07-14,16.17733333334
2015-07-19,19.22583333334
2015-07-24,24.345083333319998
2015-07-29,20.35108333332
2015-08-03,19.87375
2015-08-08,24.59133333334
2015-08-13,19.43958333334
2015-08-18,14.905083333340002
2015-08-23,17.32250000002
2015-08-28,18.133999999999997
2015-09-02,18.20816666668
2015-09-07,13.461833333320001
2015-09-12,13.218083333340001
2015-09-17,19.10983333334
2015-09-22,20.139333333320003
2015-09-27,13.570083333334
2015-10-02,11.664499999994
2015-10-07,1.9178333333314002
2015-10-12,2.770666666668
2015-10-17,3.9829166666686
2015-10-22,3.632666666668
2015-10-27,1.3822500000006
2015-11-01,5.726166666668
2015-11-06,0.4974166666674
2015-11-11,2.5692499999994
2015-11-16,0.9133333333326
2015-11-21,5.001333333334
2015-11-26,-3.643416666666
2015-12-01,0.01775000000059402
2015-12-06,1.4162499999994
2015-12-11,-1.2729166666646001
2015-12-16,-0.731833333334
2015-12-21,5.219333333334
2015-12-26,-4.1010833333346
2015-12-31,-10.9283333333
